frame_id,track_id,x1,y1,x2,y2,confidence,timestamp
17,1,511.06,390.86,574.22,432.0,0.7333,1.417
18,1,505.64,382.5,581.17,432.0,0.7455,1.5
19,1,501.79,375.48,587.03,432.0,0.7072,1.583
20,1,497.98,366.9,594.37,432.0,0.7887,1.667
21,1,494.49,358.02,601.33,432.0,0.8045,1.75
22,1,491.6,349.21,607.53,432.0,0.7994,1.833
23,1,488.42,340.34,612.35,432.0,0.8755,1.917
24,1,486.5,332.68,615.69,432.0,0.8895,2.0
25,1,484.07,324.91,617.79,432.0,0.8868,2.083
26,1,482.66,318.44,618.29,431.85,0.8942,2.167
27,1,482.47,311.2,620.14,431.94,0.8908,2.25
28,1,492.73,303.23,613.79,414.25,0.875,2.333
29,1,502.35,295.4,609.58,398.31,0.8576,2.417
30,1,507.14,289.53,609.19,392.26,0.8595,2.5
31,1,509.5,284.37,609.08,389.51,0.8561,2.583
32,1,511.47,278.59,609.18,386.59,0.8366,2.667
33,1,516.62,272.81,608.73,379.0,0.841,2.75
34,1,524.73,266.13,606.61,364.01,0.8396,2.833
35,1,529.26,259.74,608.27,357.93,0.8209,2.917
36,1,530.78,255.29,608.62,355.47,0.8586,3.0
37,1,531.42,251.23,608.77,354.08,0.8685,3.083
38,1,532.62,245.64,609.08,350.42,0.8752,3.167
39,1,537.55,240.04,610.47,343.29,0.8653,3.25
40,1,545.14,234.81,611.66,331.71,0.8675,3.333
41,1,550.52,230.44,612.12,322.15,0.8433,3.417
42,1,552.45,226.42,614.25,320.17,0.8463,3.5
43,1,553.98,222.74,616.23,318.36,0.8617,3.583
44,1,557.63,218.79,619.24,314.58,0.8459,3.667
45,1,563.99,214.94,621.52,304.79,0.8484,3.75
46,1,572.31,210.25,627.62,297.96,0.8071,3.833
47,1,578.4,205.84,634.29,296.29,0.8589,3.917
48,1,582.18,202.68,638.66,295.32,0.8507,4.0
49,1,584.78,199.52,642.59,295.14,0.8831,4.083
50,1,587.95,195.93,646.44,293.92,0.8775,4.167
51,1,593.87,192.26,649.84,287.86,0.85,4.25
52,1,600.67,187.21,654.14,280.37,0.8195,4.333
53,1,605.84,182.96,656.76,272.17,0.8379,4.417
54,1,607.17,180.02,658.26,269.44,0.8619,4.5
55,1,608.75,178.06,660.9,268.94,0.8652,4.583
56,1,612.11,175.61,665.25,267.44,0.821,4.667
57,1,620.11,172.65,670.37,258.94,0.8176,4.75
58,1,628.08,168.01,678.24,255.16,0.7986,4.833
59,1,635.35,164.94,685.83,253.8,0.8441,4.917
60,1,639.44,162.68,690.83,253.66,0.8531,5.0
61,1,642.12,161.22,694.27,253.37,0.8659,5.083
62,1,645.77,158.38,698.99,253.23,0.8552,5.167
63,1,652.91,156.09,702.85,246.89,0.8645,5.25
64,1,659.19,152.35,707.16,240.92,0.8279,5.333
65,1,663.39,149.19,709.58,234.75,0.8283,5.417
66,1,665.05,146.39,711.72,232.51,0.8168,5.5
67,1,666.68,144.55,714.12,231.33,0.8255,5.583
68,1,671.86,142.55,719.82,228.75,0.7784,5.667
