frame_id,track_id,x1,y1,x2,y2,confidence,timestamp
539,1,542.16,228.13,718.15,401.21,0.8487,8.992
540,1,541.05,227.63,717.56,401.2,0.8563,9.009
541,1,539.49,227.19,716.29,401.04,0.7169,9.026
542,1,538.01,226.68,715.35,400.98,0.771,9.042
543,1,536.55,225.01,715.74,401.08,0.5906,9.059
544,1,533.54,221.37,716.97,401.63,0.3718,9.076
547,1,530.11,218.77,716.31,401.3,0.6298,9.126
552,1,519.96,210.3,714.65,400.38,0.413,9.209
553,1,518.11,210.81,713.81,400.62,0.8995,9.226
554,1,517.06,211.6,713.3,400.65,0.8801,9.243
555,1,515.06,211.04,713.01,400.64,0.7603,9.259
556,1,511.46,208.68,712.77,400.73,0.9181,9.276
557,1,507.64,207.68,710.39,400.68,0.9035,9.293
558,1,503.16,205.0,708.64,400.53,0.8828,9.309
559,1,499.29,203.63,706.07,400.32,0.8233,9.326
560,1,495.19,201.51,703.95,400.33,0.8381,9.343
561,1,491.57,199.57,702.07,400.32,0.8907,9.359
562,1,488.71,198.53,700.04,400.37,0.8928,9.376
563,1,485.95,197.0,698.5,400.5,0.8833,9.393
564,1,483.63,195.58,696.89,400.43,0.877,9.409
565,1,481.05,193.59,695.19,400.32,0.8339,9.426
566,1,479.49,191.82,694.23,400.33,0.8719,9.443
567,1,478.3,190.93,692.92,400.53,0.901,9.459
568,1,477.19,190.91,690.29,400.26,0.8675,9.476
569,1,475.96,189.47,689.05,400.21,0.8147,9.493
570,1,474.78,188.43,687.78,400.45,0.8835,9.51
571,1,473.96,187.56,686.62,400.61,0.9084,9.526
572,1,473.05,186.81,685.2,400.75,0.9081,9.543
573,1,472.27,185.8,683.86,400.71,0.8865,9.56
574,1,471.73,184.97,682.78,400.8,0.8891,9.576
575,1,471.27,184.87,680.97,400.83,0.9085,9.593
576,1,470.85,184.45,679.47,400.82,0.9021,9.61
577,1,470.31,183.03,678.59,400.75,0.8836,9.626
578,1,469.69,181.97,677.1,400.48,0.8729,9.643
579,1,468.87,181.08,675.28,400.38,0.8765,9.66
580,1,468.47,180.58,673.6,400.33,0.8838,9.676
581,1,467.59,179.17,672.32,400.38,0.8816,9.693
582,1,467.01,178.18,670.83,400.33,0.8722,9.71
583,1,466.78,177.88,669.27,400.4,0.8597,9.726
584,1,466.61,177.5,667.78,400.38,0.8818,9.743
585,1,466.44,177.05,666.34,400.44,0.8904,9.76
586,1,466.5,176.55,665.29,400.5,0.8895,9.776
587,1,466.54,176.07,664.25,400.49,0.8819,9.793
588,1,466.49,175.31,663.36,400.47,0.8595,9.81
589,1,466.58,175.42,661.93,400.42,0.8729,9.826
590,1,466.71,175.14,660.85,400.31,0.8598,9.843
591,1,466.74,174.9,659.74,400.28,0.8795,9.86
592,1,467.05,175.12,658.57,400.18,0.8784,9.877
593,1,467.17,175.03,657.42,399.96,0.8511,9.893
594,1,466.8,174.6,656.13,399.89,0.862,9.91
595,1,466.65,173.94,655.29,399.84,0.8487,9.927
596,1,466.84,173.32,654.86,399.88,0.8624,9.943
597,1,466.26,172.5,653.64,399.94,0.8655,9.96
598,1,466.07,171.7,652.78,399.99,0.8559,9.977
599,1,465.73,170.06,652.44,400.18,0.8582,9.993
600,1,465.73,168.63,652.14,400.24,0.8841,10.01
601,1,465.62,167.46,651.38,400.26,0.8901,10.027
602,1,465.82,167.25,650.21,400.27,0.8912,10.043
603,1,466.2,166.78,649.44,400.28,0.885,10.06
604,1,466.22,165.33,648.91,400.22,0.8895,10.077
605,1,466.36,164.44,648.03,400.0,0.8885,10.093
606,1,465.78,161.82,647.66,399.92,0.895,10.11
607,1,466.07,161.42,646.65,399.94,0.8954,10.127
608,1,466.21,160.64,645.64,399.86,0.8995,10.143
609,1,466.77,160.47,644.72,399.91,0.8917,10.16
610,1,467.05,159.83,643.81,399.91,0.8702,10.177
611,1,467.78,159.85,642.85,399.89,0.8574,10.194
612,1,467.83,158.03,642.44,399.93,0.883,10.21
613,1,468.13,156.26,642.16,400.08,0.8845,10.227
614,1,469.06,155.55,641.72,400.16,0.8806,10.244
615,1,469.66,155.1,640.56,399.8,0.8566,10.26
616,1,470.13,153.96,639.84,399.71,0.8678,10.277
617,1,470.51,151.41,639.79,399.67,0.8451,10.294
618,1,471.3,150.51,639.23,399.91,0.8699,10.31
619,1,471.95,149.67,638.6,400.32,0.875,10.327
620,1,472.57,148.76,637.83,400.56,0.8644,10.344
621,1,477.32,164.56,631.87,401.04,0.7358,10.36
622,1,474.29,152.21,634.54,400.95,0.8274,10.377
623,1,473.83,146.92,635.15,401.01,0.8338,10.394
624,1,474.3,144.67,634.69,400.9,0.886,10.41
625,1,474.89,143.62,633.69,400.93,0.8893,10.427
626,1,475.54,142.97,632.58,401.11,0.8918,10.444
627,1,476.01,142.29,631.34,401.17,0.8946,10.46
628,1,476.08,141.71,629.64,401.07,0.891,10.477
629,1,476.49,141.23,628.2,400.66,0.8745,10.494
630,1,476.51,140.73,626.71,400.55,0.875,10.511
631,1,476.57,139.97,625.5,400.34,0.8771,10.527
632,1,476.48,139.7,624.17,400.49,0.8816,10.544
633,1,476.86,139.63,623.24,400.6,0.875,10.561
634,1,477.25,138.37,622.74,400.39,0.8731,10.577
635,1,477.83,137.7,622.32,400.53,0.8773,10.594
636,1,478.16,137.49,621.51,400.67,0.8795,10.611
637,1,478.39,137.55,620.56,400.87,0.8816,10.627
638,1,478.37,136.96,619.7,401.03,0.888,10.644
639,1,478.1,136.75,618.54,401.23,0.8865,10.661
640,1,477.42,136.59,617.17,401.55,0.8858,10.677
641,1,476.79,136.39,615.79,401.58,0.8855,10.694
642,1,476.2,135.75,614.75,401.63,0.892,10.711
643,1,475.39,135.18,613.55,401.67,0.8969,10.727
644,1,474.94,134.98,612.57,401.66,0.9007,10.744
645,1,474.1,134.14,611.51,401.5,0.903,10.761
646,1,473.35,133.71,610.49,401.44,0.9033,10.777
647,1,472.34,133.96,609.07,401.36,0.9048,10.794
648,1,471.61,134.72,607.78,401.21,0.8979,10.811
649,1,470.45,133.67,606.92,401.11,0.8918,10.827
650,1,469.24,133.01,605.92,401.13,0.8938,10.844
651,1,468.21,132.52,605.06,401.05,0.8924,10.861
652,1,467.39,132.8,604.19,401.18,0.8963,10.878
653,1,465.93,131.94,603.22,401.27,0.8982,10.894
654,1,464.56,131.11,602.35,401.31,0.8974,10.911
655,1,463.12,130.79,601.17,401.37,0.8942,10.928
656,1,461.64,130.22,600.31,401.62,0.8977,10.944
657,1,460.1,130.49,598.9,401.74,0.8959,10.961
658,1,458.23,131.22,596.96,401.6,0.8919,10.978
659,1,456.53,131.64,595.41,401.6,0.8931,10.994
660,1,455.31,131.56,594.55,401.58,0.8988,11.011
661,1,453.67,131.19,593.39,401.6,0.8904,11.028
662,1,452.29,130.85,592.31,401.51,0.892,11.044
663,1,450.34,130.57,590.56,401.25,0.897,11.061
664,1,448.55,130.72,588.8,401.09,0.8961,11.078
665,1,447.08,129.54,588.1,401.03,0.915,11.094
666,1,445.49,128.37,587.23,400.83,0.9129,11.111
667,1,444.05,128.27,586.07,400.72,0.9033,11.128
668,1,442.41,128.26,584.67,400.79,0.8971,11.144
669,1,440.81,128.11,583.31,400.85,0.9011,11.161
670,1,439.18,127.73,581.88,400.74,0.898,11.178
671,1,437.69,127.5,580.46,400.58,0.893,11.195
672,1,436.45,127.81,579.1,400.53,0.8939,11.211
673,1,434.35,125.93,577.88,400.65,0.8987,11.228
674,1,432.33,123.14,577.21,401.07,0.9069,11.245
675,1,431.18,122.86,576.08,401.33,0.9071,11.261
676,1,430.1,122.62,574.84,401.31,0.9079,11.278
677,1,428.74,121.84,573.69,401.53,0.9102,11.295
678,1,427.49,122.03,572.08,401.53,0.9137,11.311
679,1,426.43,122.2,570.47,401.15,0.9177,11.328
680,1,425.35,121.81,569.04,400.78,0.9217,11.345
681,1,423.75,121.47,567.38,400.83,0.9076,11.361
682,1,422.2,120.5,565.87,400.93,0.9134,11.378
683,1,421.13,121.08,564.04,400.92,0.9121,11.395
684,1,419.48,120.77,562.05,400.79,0.8963,11.411
685,1,417.87,120.14,560.15,400.56,0.8764,11.428
686,1,416.18,119.43,558.2,400.63,0.8841,11.445
687,1,415.2,119.28,556.5,400.45,0.8916,11.461
688,1,414.09,118.47,554.98,400.47,0.8825,11.478
688,5,628.5,292.34,706.06,402.45,0.3911,11.478
689,1,413.29,117.88,553.66,400.54,0.881,11.495
689,5,621.3,290.97,700.24,402.74,0.4893,11.495
690,1,412.93,117.84,552.57,400.62,0.8686,11.511
690,5,617.48,289.22,696.2,400.45,0.5565,11.511
691,1,412.6,117.76,551.53,400.75,0.8569,11.528
691,5,616.27,287.44,695.44,399.4,0.3877,11.528
692,1,412.1,116.77,550.68,400.72,0.8622,11.545
692,5,613.92,285.59,695.48,401.25,0.4211,11.545
693,1,411.54,116.79,549.44,400.89,0.8469,11.562
694,1,410.88,115.62,548.58,400.75,0.8637,11.578
695,1,410.25,113.08,548.2,400.59,0.8406,11.595
695,5,614.96,276.72,703.95,401.14,0.3958,11.595
696,1,409.9,112.9,547.12,400.4,0.8619,11.612
697,1,409.63,113.27,546.04,400.26,0.8749,11.628
697,5,590.79,273.23,687.86,400.23,0.4289,11.628
698,1,409.54,113.46,545.38,400.32,0.8846,11.645
698,5,569.58,272.4,670.52,400.85,0.4498,11.645
699,1,409.16,112.91,544.76,400.51,0.8787,11.662
699,5,571.02,270.74,678.84,400.57,0.3877,11.662
700,1,408.95,112.28,544.28,400.5,0.8514,11.678
701,1,408.74,111.93,543.72,400.54,0.8531,11.695
702,1,408.83,110.98,543.57,400.38,0.8509,11.712
703,1,409.06,111.12,542.81,399.28,0.8852,11.728
704,1,409.06,111.17,542.27,399.08,0.9065,11.745
704,5,571.15,260.45,656.31,361.92,0.3583,11.745
705,1,409.07,111.56,541.9,399.52,0.9021,11.762
706,1,409.24,111.58,541.66,399.57,0.9138,11.778
706,5,570.16,256.49,652.98,355.07,0.3622,11.778
707,1,409.33,111.46,541.4,399.53,0.9164,11.795
708,1,409.5,111.42,541.15,399.38,0.9213,11.812
709,1,409.9,110.65,541.43,399.29,0.9321,11.828
709,7,516.14,251.75,689.75,401.38,0.497,11.828
710,1,410.21,110.37,541.4,399.24,0.932,11.845
710,7,513.08,250.19,688.44,401.43,0.6405,11.845
711,1,410.56,110.42,541.18,398.94,0.932,11.862
711,7,510.61,248.69,687.42,401.35,0.6533,11.862
712,1,411.02,110.39,541.11,398.66,0.9298,11.879
712,7,508.83,247.53,686.76,401.4,0.7678,11.879
713,1,411.26,110.34,540.98,398.71,0.9308,11.895
713,7,506.59,246.34,685.73,401.55,0.7507,11.895
714,1,411.53,110.02,540.82,398.32,0.9258,11.912
714,7,504.43,245.45,684.36,401.73,0.7245,11.912
715,1,411.66,109.86,540.68,398.42,0.9303,11.929
715,7,502.79,243.67,684.23,401.75,0.7974,11.929
716,1,411.74,109.85,540.44,398.49,0.9296,11.945
716,7,501.58,241.61,684.3,401.59,0.8177,11.945
717,1,411.78,109.88,540.16,398.51,0.9284,11.962
717,7,500.7,240.12,683.78,401.34,0.854,11.962
718,1,412.01,110.09,539.99,398.53,0.9263,11.979
718,7,499.73,238.91,683.06,401.3,0.8557,11.979
719,1,412.06,109.81,539.84,398.43,0.9218,11.995
719,7,497.53,238.56,680.82,402.03,0.8243,11.995
720,1,412.11,110.55,539.63,399.23,0.9214,12.012
720,7,495.74,237.51,679.18,402.32,0.7753,12.012
721,1,412.17,110.42,539.61,399.61,0.9221,12.029
721,7,495.04,236.39,678.32,402.36,0.7993,12.029
722,1,412.41,110.12,539.72,399.77,0.9186,12.045
722,7,494.63,235.18,677.53,402.19,0.812,12.045
723,1,412.51,109.59,539.75,399.77,0.9192,12.062
723,7,495.13,233.81,677.58,402.1,0.7993,12.062
724,1,412.7,109.07,539.84,399.73,0.9147,12.079
724,7,495.55,232.82,676.24,401.15,0.8425,12.079
